Tray,Density,Temperature,Wbf,Range
S4,Low larval density,23.4,454.639175257732,23-24ºC
S4,Low larval density,23.6,490,23-24ºC
S4,Low larval density,23.4,479.347826086957,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.7,501.136363636364,23-24ºC
S4,Low larval density,23.3,479.347826086957,23-24ºC
S4,Low larval density,23.6,506.896551724138,23-24ºC
S4,Low larval density,23.7,531.325301204819,23-24ºC
S4,Low larval density,23.4,479.347826086957,23-24ºC
S4,Low larval density,23.7,495.505617977528,23-24ºC
S4,Low larval density,23.3,495.505617977528,23-24ºC
S4,Low larval density,23.3,506.896551724138,23-24ºC
S4,Low larval density,23.4,490,23-24ºC
S4,Low larval density,23.2,518.823529411765,23-24ºC
S4,Low larval density,23.7,506.896551724138,23-24ºC
S4,Low larval density,23.2,484.615384615385,23-24ºC
S4,Low larval density,23,495.505617977528,23-24ºC
S4,Low larval density,23.7,506.896551724138,23-24ºC
S4,Low larval density,23,464.210526315789,23-24ºC
S4,Low larval density,23.4,469.148936170213,23-24ºC
S3,Low larval density,23.3,495.505617977528,23-24ºC
S4,Low larval density,23.7,490,23-24ºC
S4,Low larval density,23.4,450,23-24ºC
S4,Low larval density,23.3,474.193548387097,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.1,479.347826086957,23-24ºC
S3,Low larval density,23.3,464.210526315789,23-24ºC
S4,Low larval density,23.6,518.823529411765,23-24ºC
S4,Low larval density,23.4,490,23-24ºC
S4,Low larval density,23.7,518.823529411765,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.6,525,23-24ºC
S4,Low larval density,23.6,495.505617977528,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.4,469.148936170213,23-24ºC
S4,Low larval density,23.2,501.136363636364,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.8,537.804878048781,23-24ºC
S4,Low larval density,23.2,479.347826086957,23-24ºC
S4,Low larval density,23.4,495.505617977528,23-24ºC
S4,Low larval density,23.4,484.615384615385,23-24ºC
S4,Low larval density,23.7,469.148936170213,23-24ºC
S4,Low larval density,23,474.193548387097,23-24ºC
S4,Low larval density,23.2,474.193548387097,23-24ºC
S4,Low larval density,23.6,544.444444444444,23-24ºC
S4,Low larval density,23.7,512.790697674419,23-24ºC
S4,Low larval density,23.7,525,23-24ºC
S4,Low larval density,23.4,469.148936170213,23-24ºC
S4,Low larval density,23.2,501.136363636364,23-24ºC
S4,Low larval density,23.2,474.193548387097,23-24ºC
S4,Low larval density,23.4,479.347826086957,23-24ºC
S4,Low larval density,23,459.375,23-24ºC
S4,Low larval density,23.4,479.347826086957,23-24ºC
S4,Low larval density,23.5,459.375,23-24ºC
S4,Low larval density,23.6,506.896551724138,23-24ºC
S4,Low larval density,23.7,495.505617977528,23-24ºC
S3,Low larval density,23.8,464.210526315789,23-24ºC
S4,Low larval density,23.7,490,23-24ºC
S4,Low larval density,23.2,495.505617977528,23-24ºC
S4,Low larval density,23.4,484.615384615385,23-24ºC
S3,Low larval density,28.1,512.790697674419,28-29ºC
S3,Low larval density,28,525,28-29ºC
S3,Low larval density,28.2,525,28-29ºC
S3,Low larval density,28,544.444444444444,28-29ºC
S3,Low larval density,28.2,604.109589041096,28-29ºC
S3,Low larval density,28,621.12676056338,28-29ºC
S3,Low larval density,28.7,565.384615384615,28-29ºC
S4,Low larval density,28.3,551.25,28-29ºC
S4,Low larval density,28.3,551.25,28-29ºC
S4,Low larval density,28.3,558.227848101266,28-29ºC
S4,Low larval density,28.3,565.384615384615,28-29ºC
S4,Low larval density,28.4,580.263157894737,28-29ºC
S4,Low larval density,28.4,558.227848101266,28-29ºC
S4,Low larval density,28.4,558.227848101266,28-29ºC
S4,Low larval density,28.3,572.727272727273,28-29ºC
S4,Low larval density,28.2,544.444444444444,28-29ºC
S4,Low larval density,28.4,588,28-29ºC
S4,Low larval density,28.4,531.325301204819,28-29ºC
S4,Low larval density,28.6,537.804878048781,28-29ºC
S4,Low larval density,28.3,512.790697674419,28-29ºC
S4,Low larval density,28.4,551.25,28-29ºC
S4,Low larval density,28.3,518.823529411765,28-29ºC
S4,Low larval density,28.3,531.325301204819,28-29ºC
S4,Low larval density,28.2,525,28-29ºC
S4,Low larval density,28.2,558.227848101266,28-29ºC
S4,Low larval density,28.4,551.25,28-29ºC
S4,Low larval density,28.4,544.444444444444,28-29ºC
S4,Low larval density,28.4,537.804878048781,28-29ºC
S4,Low larval density,28.4,531.325301204819,28-29ºC
S4,Low larval density,28.4,537.804878048781,28-29ºC
S4,Low larval density,28.4,506.896551724138,28-29ºC
S4,Low larval density,28.4,580.263157894737,28-29ºC
S4,Low larval density,28.5,565.384615384615,28-29ºC
S4,Low larval density,28.5,531.325301204819,28-29ºC
S4,Low larval density,28.5,506.896551724138,28-29ºC
